year,jus_code,mqs,med_mqs,rel_mqs
1976,90,-2.79,0.484,-3.274
1977,90,-2.886,0.221,-3.107
1978,90,-2.809,0.151,-2.96
1979,90,-2.761,0.215,-2.976
1980,90,-2.624,0.18,-2.804
1981,90,-2.591,0.185,-2.776
1982,90,-2.449,0.598,-3.047
1983,90,-2.818,0.795,-3.613
1984,90,-3.035,0.741,-3.776
1985,90,-3.14,0.832,-3.972
1986,90,-3.417,0.801,-4.218
1987,90,-3.498,0.929,-4.427
1988,90,-3.595,1.049,-4.644
1989,90,-3.657,0.819,-4.476
1976,92,0.501,0.484,0.017
1977,92,0.316,0.221,0.095
1978,92,0.496,0.151,0.345
1979,92,0.458,0.215,0.243
1980,92,0.7,0.18,0.52
1976,93,0.354,0.484,-0.13
1977,93,-0.002,0.221,-0.223
1978,93,-0.047,0.151,-0.198
1979,93,0.216,0.215,0.001
1980,93,0.171,0.18,-0.009
1981,93,0.184,0.185,-0.001
1982,93,0.598,0.598,0
1983,93,0.815,0.795,0.02
1984,93,0.997,0.741,0.256
1985,93,1.205,0.832,0.373
1986,93,1.2,0.801,0.399
1987,93,0.978,0.929,0.049
1988,93,1.062,1.049,0.013
1989,93,0.82,0.819,0.001
1990,93,0.6,0.928,-0.328
1991,93,0.627,0.767,-0.14
1992,93,0.57,0.838,-0.268
1976,96,-2.355,0.484,-2.839
1977,96,-2.669,0.221,-2.89
1978,96,-3.056,0.151,-3.207
1979,96,-3.337,0.215,-3.552
1980,96,-3.488,0.18,-3.668
1981,96,-3.611,0.185,-3.796
1982,96,-3.761,0.598,-4.359
1983,96,-3.828,0.795,-4.623
1984,96,-3.895,0.741,-4.636
1985,96,-3.983,0.832,-4.815
1986,96,-4.189,0.801,-4.99
1987,96,-4.357,0.929,-5.286
1988,96,-4.448,1.049,-5.497
1989,96,-4.425,0.819,-5.244
1990,96,-4.269,0.928,-5.197
1976,97,1.9,0.484,1.416
1977,97,1.53,0.221,1.309
1978,97,1.394,0.151,1.243
1979,97,1.2,0.215,0.985
1980,97,1.422,0.18,1.242
1981,97,1.606,0.185,1.421
1982,97,1.487,0.598,0.889
1983,97,1.701,0.795,0.906
1984,97,2.009,0.741,1.268
1985,97,2.115,0.832,1.283
1976,98,0.621,0.484,0.137
1977,98,0.285,0.221,0.064
1978,98,0.138,0.151,-0.013
1979,98,-0.018,0.215,-0.233
1980,98,-0.096,0.18,-0.276
1981,98,-0.277,0.185,-0.462
1982,98,-0.395,0.598,-0.993
1983,98,-0.009,0.795,-0.804
1984,98,-0.143,0.741,-0.884
1985,98,-0.721,0.832,-1.553
1986,98,-0.909,0.801,-1.71
1987,98,-0.947,0.929,-1.876
1988,98,-0.955,1.049,-2.004
1989,98,-0.908,0.819,-1.727
1990,98,-1.215,0.928,-2.143
1991,98,-1.45,0.767,-2.217
1992,98,-1.663,0.838,-2.501
1993,98,-1.943,0.82,-2.763
1976,99,0.712,0.484,0.228
1977,99,0.458,0.221,0.237
